config_index,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,GRADIENT_CLIP,mean_epoch,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_specificity,mean_roc_auc,mean_ap,mean_early_stop_ap,std_accuracy,std_precision,std_recall,std_f1,std_specificity,std_roc_auc,std_ap,std_early_stop_ap
18,64,8,0.3,64,0.001,1e-05,5.0,62.75,0.8981481481481481,0.5498633717465775,0.7552057814796669,0.6338371338662309,0.9168611287788482,0.8980445374429621,0.6999287968608899,0.6999287968608899,0.01776233897523231,0.05856355582315391,0.03149597328737874,0.030392413969506215,0.02403516420664957,0.014631591036333375,0.06657637342564258,0.06657637342564258
19,64,9,0.0,64,0.001,1e-05,5.0,48.25,0.9016666666666667,0.5493755478657513,0.854360607545321,0.6684700204317009,0.9078565501438458,0.9273696372186652,0.7863133864551867,0.7863133864551867,0.011764726055013783,0.0364219332936739,0.021474718561388113,0.0324534408612282,0.011102847855797177,0.01716774607636394,0.023732240106550246,0.023732240106550246
20,64,9,0.1,64,0.001,1e-05,5.0,63.25,0.9072222222222223,0.5779635611996089,0.772844194022538,0.659888254389703,0.924819508270607,0.9015249504296411,0.7515014915493576,0.7515014915493576,0.015682900266474176,0.0564555527759231,0.03325839906630896,0.03864562893768048,0.01804592994596736,0.018605951972544,0.04025637934986896,0.04025637934986896
21,64,9,0.3,64,0.001,1e-05,5.0,62.0,0.9057407407407407,0.5735849187848565,0.7648109586803854,0.6534446479189869,0.924188559449946,0.9020498673605153,0.7322632661681678,0.7322632661681678,0.011337205825936256,0.04858989301422569,0.040234907925213455,0.018720665808855144,0.017627304517867926,0.0035770294509463907,0.01474503725061071,0.01474503725061071
22,64,10,0.0,64,0.001,1e-05,5.0,45.25,0.9011111111111111,0.5492117332563884,0.8320165768414176,0.6613598649489582,0.910156222576981,0.9168685562491223,0.762857321070847,0.762857321070847,0.011225746095475846,0.035408221810500205,0.016613018151102898,0.029524186863027248,0.01106509047265642,0.019958461850233568,0.034409839944521785,0.034409839944521785
23,64,10,0.1,64,0.001,1e-05,5.0,66.5,0.898888888888889,0.5496960721064307,0.8096010942348523,0.6523203081853284,0.9105728769581352,0.9109329980713138,0.7441027982535606,0.7441027982535606,0.020762774892009908,0.07503337747804538,0.021795450933984176,0.048378270994817764,0.02464809569210969,0.021999494392830027,0.05205807901517245,0.05205807901517245
24,64,10,0.3,64,0.001,1e-05,5.0,50.0,0.8985185185185185,0.5479021456314056,0.7679242201535195,0.6372838078812191,0.9155971250496686,0.897183031672381,0.7145814593089723,0.7145814593089723,0.012050799350036983,0.04118436841917719,0.05147585351132099,0.015343025111222073,0.01967056097633897,0.004949160337158117,0.0371890909067249,0.0371890909067249
25,128,3,0.0,64,0.001,1e-05,5.0,22.75,0.8822222222222222,0.497749011058659,0.7968112036583375,0.6115985581565998,0.8934040487432974,0.8982040659378211,0.7369130655311366,0.7369130655311366,0.01617236829018548,0.04269116999507998,0.021661753321757488,0.02972200857967885,0.02007538491896546,0.010612459008701405,0.011309460290105782,0.011309460290105782
26,128,3,0.1,64,0.001,1e-05,5.0,19.5,0.8987037037037038,0.5489957779111031,0.7823779193205945,0.643537975914472,0.913930156510409,0.9077887369725949,0.7402331786782465,0.7402331786782465,0.019573644832183403,0.06265595181527348,0.015190389035869544,0.04339310866899712,0.022680202651269223,0.007091284402180415,0.00926704610239498,0.00926704610239498
27,128,3,0.3,64,0.001,1e-05,5.0,24.75,0.88,0.48945899987594776,0.7919728891066471,0.6046949983134193,0.8915150634423865,0.9022626814102408,0.7361587131231541,0.7361587131231541,0.00911241584555357,0.022312690580883122,0.023980071103762525,0.018846508887275536,0.010851221253134534,0.005248661422256058,0.015222855582678153,0.015222855582678153
28,128,4,0.0,64,0.001,1e-05,5.0,30.0,0.9022222222222223,0.5544251097637061,0.7999550873754695,0.654312139420429,0.9156029167912769,0.9181142792160998,0.7599929181498444,0.7599929181498444,0.005769541454591544,0.019443246122547504,0.04351331359780493,0.01757147855087811,0.009301013442358508,0.015313049745728925,0.030449126812917667,0.030449126812917667
29,128,4,0.1,64,0.001,1e-05,5.0,22.25,0.8838888888888888,0.49958587794686965,0.806385758615058,0.6166934514455967,0.894032540461458,0.9053492039932537,0.7413239923236746,0.7413239923236746,0.007216680368234836,0.01905539776959859,0.02068483324136315,0.015452321854053505,0.008912156289954825,0.0033703542070764436,0.017563754907177015,0.017563754907177015
30,128,4,0.3,64,0.001,1e-05,5.0,24.75,0.8987037037037037,0.5482883132145017,0.7695880287440797,0.63913506641858,0.9156041453425271,0.9025050387122968,0.7370025662252758,0.7370025662252758,0.016666666666666656,0.05163516927950241,0.009423391754426854,0.03518502245867514,0.01948024630239151,0.011264713059846023,0.01710844737538687,0.01710844737538687
31,128,5,0.0,64,0.001,1e-05,5.0,31.0,0.8816666666666667,0.4995460241512873,0.8448575044912625,0.625809324134606,0.8864939744826394,0.9219160687598009,0.7700558401264659,0.7700558401264659,0.02482955154824344,0.060531543695979885,0.03196139795001456,0.04687384783852638,0.029328415540489938,0.010941106582404093,0.022185058578642915,0.022185058578642915
32,128,5,0.1,64,0.001,1e-05,5.0,29.75,0.9053703703703704,0.5689358878944223,0.7712008002613098,0.6538165355049985,0.9229308739843392,0.9054598273285581,0.7525990994676646,0.7525990994676646,0.00706298011871003,0.02869699667179831,0.03485096788168683,0.010604395737167784,0.01191313612221883,0.01689075500081653,0.014018930952609277,0.014018930952609277
33,128,5,0.3,64,0.001,1e-05,5.0,25.0,0.8940740740740741,0.5394077418769037,0.7951780173117753,0.6386367790921806,0.907016221088679,0.9062661164119619,0.7449232680767323,0.7449232680767323,0.02630064300712092,0.07419057107978301,0.040675542058926754,0.043223400624858056,0.03482000385100395,0.006569428269815267,0.01687518248431815,0.01687518248431815
