iter	Passed	Remaining
414	3252	4584
415	3260	4577
416	3267	4568
417	3276	4561
418	3285	4555
419	3292	4546
420	3299	4537
421	3308	4532
422	3314	4521
423	3321	4511
424	3328	4503
425	3336	4495
426	3341	4484
427	3348	4474
428	3355	4466
429	3364	4459
430	3372	4452
431	3383	4448
432	3391	4440
433	3399	4433
434	3410	4429
435	3422	4427
436	3429	4418
437	3437	4410
438	3444	4402
439	3450	4392
440	3457	4382
441	3463	4372
442	3472	4365
443	3479	4357
444	3487	4349
445	3494	4340
446	3503	4333
447	3510	4325
448	3523	4323
449	3535	4320
450	3542	4311
451	3547	4301
452	3555	4293
453	3562	4284
454	3568	4274
455	3576	4266
456	3584	4259
457	3596	4255
458	3604	4248
459	3612	4240
460	3627	4241
461	3634	4232
462	3642	4224
463	3650	4217
464	3657	4208
465	3662	4197
466	3670	4188
467	3677	4180
468	3683	4170
469	3691	4162
470	3696	4152
471	3703	4143
472	3711	4135
473	3717	4125
474	3727	4119
475	3736	4113
476	3742	4103
477	3748	4093
478	3756	4086
479	3763	4077
480	3770	4067
481	3776	4058
482	3783	4049
483	3789	4040
484	3796	4031
485	3801	4020
486	3808	4012
487	3815	4003
488	3821	3993
489	3829	3985
490	3838	3978
491	3843	3968
492	3849	3958
493	3856	3950
494	3863	3942
495	3870	3933
496	3878	3925
497	3885	3916
498	3890	3906
499	3898	3898
500	3906	3890
501	3913	3881
502	3919	3872
503	3925	3863
504	3933	3855
505	3940	3846
506	3945	3836
507	3951	3827
508	3958	3818
509	3964	3809
510	3971	3800
511	3984	3797
512	3993	3790
513	4000	3782
514	4007	3774
515	4015	3766
516	4022	3757
517	4032	3752
518	4041	3745
519	4049	3737
520	4056	3729
521	4065	3723
522	4075	3716
523	4081	3707
524	4088	3699
525	4095	3691
526	4103	3682
527	4111	3675
528	4118	3666
529	4124	3657
530	4129	3647
531	4135	3638
532	4143	3630
533	4149	3621
534	4155	3611
535	4165	3605
536	4173	3598
537	4181	3590
538	4188	3581
539	4195	3574
540	4201	3564
541	4209	3557
542	4216	3548
543	4223	3540
544	4231	3532
545	4237	3523
546	4243	3514
547	4249	3505
548	4255	3496
549	4263	3487
550	4268	3478
551	4275	3470
552	4283	3462
553	4290	3453
554	4296	3445
555	4302	3436
556	4310	3428
557	4316	3419
558	4323	3410
559	4329	3401
560	4334	3391
561	4343	3384
562	4354	3379
563	4363	3372
564	4370	3365
565	4377	3356
566	4381	3346
567	4388	3337
568	4400	3333
569	4410	3327
570	4418	3319
571	4425	3311
572	4432	3303
573	4439	3294
574	4445	3285
575	4458	3281
576	4474	3280
577	4485	3274
578	4492	3266
579	4504	3262
580	4511	3253
581	4518	3245
582	4531	3240
583	4540	3234
584	4547	3225
585	4553	3216
586	4564	3211
587	4570	3202
588	4577	3194
589	4583	3184
590	4590	3177
591	4597	3168
592	4603	3159
593	4609	3150
594	4615	3141
595	4621	3132
596	4628	3124
597	4635	3116
598	4643	3108
599	4649	3099
600	4654	3090
601	4665	3084
602	4674	3077
603	4681	3069
604	4687	3060
605	4694	3052
606	4701	3044
607	4708	3035
608	4722	3031
609	4731	3025
610	4738	3016
611	4745	3008
612	4750	2999
613	4755	2989
614	4761	2980
615	4766	2971
616	4773	2962
617	4779	2954
618	4787	2946
619	4792	2937
620	4799	2928
621	4804	2919
622	4810	2910
623	4823	2906
624	4832	2899
625	4838	2890
626	4847	2883
627	4854	2875
628	4863	2868
629	4872	2861
630	4879	2853
631	4886	2845
632	4901	2842
633	4911	2835
634	4918	2827
635	4924	2818
636	4930	2809
637	4935	2800
638	4942	2792
639	4949	2784
640	4955	2775
641	4963	2767
642	4970	2759
643	4975	2750
644	4985	2744
645	4992	2735
646	5004	2730
647	5013	2723
648	5020	2715
649	5028	2707
650	5035	2699
651	5042	2691
652	5049	2683
653	5056	2674
654	5068	2669
655	5079	2663
656	5087	2656
657	5094	2648
658	5101	2640
659	5108	2631
660	5113	2622
661	5120	2614
662	5127	2606
663	5133	2597
664	5140	2589
665	5146	2581
666	5153	2572
667	5160	2564
668	5168	2557
669	5174	2548
670	5181	2540
671	5192	2534
672	5205	2529
673	5216	2523
674	5224	2515
675	5231	2507
