iter	MAE	RMSE
362	42789.84747	260222.3613
363	42772.55738	259741.866
364	42757.57831	259677.0384
365	42751.95818	259596.6227
366	42699.56052	259270.7347
367	42688.0258	259020.6754
368	42684.04788	258579.5406
369	42684.83161	258414.0678
370	42676.71613	258202.4999
371	42574.15104	256747.9494
372	42567.52236	256645.1817
373	42553.42749	256204.7098
374	42542.76222	255964.2623
375	42491.18085	255177.1099
376	42462.47997	254130.7896
377	42456.27074	253917.6304
378	42377.96343	252371.3529
379	42366.4567	252282.1656
380	42359.36501	251888.1407
381	42279.71922	250969.166
382	42260.28803	250765.5922
383	42246.19104	250600.4274
384	42219.80507	250098.267
385	42210.9052	249856.4804
386	42195.24635	249461.7195
387	42195.41159	249373.2623
388	42198.70145	249248.3159
389	42154.67574	248803.5905
390	42086.69704	247824.0324
391	42068.24291	247654.7643
392	42045.56365	247309.6006
393	42014.56051	246235.2243
394	41983.18765	245990.8897
395	41926.49089	245645.3277
396	41900.74719	245309.0219
397	41871.61307	244513.1693
398	41857.46947	244232.3235
399	41852.48587	243960.0543
400	41781.30657	242436.1223
401	41767.82828	242143.6256
402	41760.16031	241878.694
403	41691.22305	241530.0239
404	41649.31861	241203.5665
405	41651.83319	241021.6658
406	41648.64657	240630.5107
407	41633.4261	240402.9682
408	41634.56062	240347.0584
409	41590.52025	239502.1266
410	41578.42476	239130.9423
411	41561.09556	238743.5549
412	41500.97076	238330.3199
413	41482.33637	238221.6463
414	41460.13291	237976.2978
415	41456.0412	237783.0617
416	41427.3538	237500.137
417	41409.43423	236949.264
418	41385.90344	236198.5564
419	41360.79703	235850.6412
420	41358.87185	235690.7505
421	41320.92632	235512.5839
422	41318.43179	235320.6324
423	41300.69246	235268.6986
424	41305.46525	235108.4824
425	41289.22243	234910.3097
426	41258.58865	234308.3324
427	41264.11058	233982.7878
428	41251.38205	233651.4961
429	41235.49128	233430.4304
430	41219.70604	233221.4458
431	41213.43913	233052.003
432	41195.80271	232876.3945
433	41181.68605	232631.8343
434	41167.51044	232309.0469
435	41135.73093	231852.9205
436	41128.16289	231696.0154
437	41113.53263	231473.3123
438	41078.9863	230418.3087
439	41039.82552	230297.3358
440	41027.70294	230204.3124
441	41013.08625	229909.2791
442	41010.44986	229784.3823
443	40980.03656	229643.1151
444	40965.84494	229301.9922
445	40931.07126	228316.8739
446	40925.12986	228127.2817
447	40923.73565	227770.9218
448	40915.98242	227596.0826
449	40885.85924	227493.5645
450	40871.15772	226841.7426
451	40861.63627	226663.2279
452	40821.2314	225997.8343
453	40784.02909	225820.0142
454	40774.26244	225624.4467
455	40761.51555	225473.5286
456	40762.54354	225416.0004
457	40756.06747	225341.9134
458	40744.49765	224960.3982
459	40732.68905	224870.4593
460	40716.41652	224760.1291
461	40698.96297	224701.3843
462	40688.07245	224373.1753
463	40688.88662	224179.0312
464	40650.78903	223795.4119
465	40624.61678	223107.3218
466	40605.65268	223040.4087
467	40595.81499	222609.8695
468	40588.15093	222571.5302
469	40557.64769	222400.0844
470	40557.72405	222343.2462
471	40554.92114	221992.9467
472	40532.26084	221297.8884
473	40499.93987	221044.8485
474	40491.76727	220868.5659
475	40466.17679	220768.7845
476	40453.85087	220507.0939
477	40432.69066	220375.9607
478	40426.71441	220325.4787
479	40396.97991	219950.7758
480	40364.77046	219747.4356
481	40324.41945	219325.67
482	40300.17157	219026.3229
483	40298.40977	218986.3153
484	40277.57934	218834.0945
485	40146.26468	218309.1568
486	40130.6294	218027.4178
487	40097.7831	217971.6118
488	40034.86448	217839.1353
489	40014.37089	217718.2835
490	39968.55075	217452.9291
491	39962.7297	217335.2591
492	39953.30854	217197.9383
493	39959.67356	217149.3188
494	39953.3051	217061.7892
495	39940.37936	216916.0719
496	39932.24202	216658.4105
497	39929.56576	216557.7941
498	39912.47454	216456.7885
499	39896.55766	216113.0101
500	39890.66771	215983.9139
501	39872.45043	215674.7346
502	39863.86776	215354.2248
503	39850.70555	215159.0239
504	39832.68762	214984.6885
505	39810.88495	214777.6089
506	39797.5932	214554.3701
507	39776.01276	214370.0678
508	39758.2308	213796.3712
509	39746.33825	213609.3292
510	39736.55849	213502.3077
511	39658.43042	212918.203
512	39640.71422	212664.745
513	39633.87179	212570.6527
514	39608.74238	212459.2039
515	39585.40433	212308.035
516	39578.3954	212188.2068
517	39572.6284	211856.4917
518	39568.36931	211813.53
519	39561.53404	211762.2963
520	39520.42761	211135.0561
521	39509.10089	211004.5839
522	39484.89584	210835.2021
523	39477.21549	210653.4923
524	39471.61842	210415.5428
525	39457.10016	210287.7451
526	39449.76833	210207.8972
527	39428.13487	210146.0883
528	39414.15489	210021.7309
529	39372.22538	209413.0172
530	39357.41073	209298.1238
531	39346.82665	209044.0159
532	39334.87735	208755.1732
533	39299.0913	208622.6862
534	39264.75268	208047.1916
535	39261.45096	207939.2374
536	39210.55274	207727.8809
537	39175.81612	207674.6048
538	39155.81314	207555.253
539	39131.85885	207450.0806
540	39120.29563	207262.3905
541	39106.46397	206967.0375
542	39099.0593	206917.307
543	39099.34293	206807.4048
544	39081.13299	206108.6151
545	39061.90934	205807.9786
546	39022.64724	205383.2618
547	39015.98567	205147.0586
548	39014.17615	204934.875
549	39012.46303	204890.5279
550	38961.35756	204667.4695
551	38941.74759	204582.0922
552	38941.85954	204488.1968
553	38927.11548	204232.0382
554	38910.13574	204014.752
555	38907.88053	203934.7749
556	38854.52225	203616.8985
557	38846.91284	203429.1482
558	38826.48375	203252.5478
559	38778.77807	203092.5827
560	38770.05112	202942.5591
561	38742.8228	202726.4109
562	38733.09541	202543.1269
563	38715.99226	202403.3908
564	38696.8705	201890.8399
565	38692.32107	201797.0106
