iter	Logloss
156	0.1380789081
157	0.1378036398
158	0.1376410143
159	0.1374062848
160	0.1371735141
161	0.1368846823
162	0.1366393177
163	0.1364557923
164	0.1363921644
165	0.135992596
166	0.1358663975
167	0.1356346122
168	0.1355657117
169	0.1353798209
170	0.1351836177
171	0.1350010031
172	0.1348398386
173	0.1347812747
174	0.1347027331
175	0.1346339519
176	0.1345613818
177	0.1344500826
178	0.1343983475
179	0.1342790156
180	0.1340732031
181	0.1336528479
182	0.1333897622
183	0.1332069347
184	0.1330863271
185	0.1330254815
186	0.1328674522
187	0.132776003
188	0.1326087007
189	0.1325111934
190	0.1324032662
191	0.1322505044
192	0.1321497598
193	0.1321125333
194	0.1318804891
195	0.1317657332
196	0.1317001229
197	0.1315718971
198	0.1315483781
199	0.1312736303
200	0.1311806957
201	0.1311028657
202	0.1310546851
203	0.1308969428
204	0.1308273378
205	0.1306439072
206	0.1305306857
207	0.1303490884
208	0.1301031046
209	0.1300699461
210	0.130018323
211	0.1299034161
212	0.129845587
213	0.1297359005
214	0.1294670517
215	0.1293587019
216	0.1292797689
217	0.1291812738
218	0.1288638136
219	0.1287116804
220	0.1285886397
221	0.1285070254
222	0.1283383032
223	0.1282612025
224	0.128216148
225	0.1280913509
226	0.1279763158
227	0.1279428621
228	0.1277599176
229	0.1275498229
230	0.1274225548
231	0.1272724469
232	0.1272006763
233	0.1269203913
234	0.1266656392
235	0.1265009178
236	0.1262703341
237	0.1260398527
238	0.1259682183
239	0.1258310046
240	0.1256467803
241	0.1254051057
242	0.1252544717
243	0.1251197688
244	0.1249386633
245	0.1248126104
246	0.12470793
247	0.1246396877
248	0.124526768
249	0.1243863764
250	0.1242819492
251	0.1242107422
252	0.1241372283
253	0.1240857424
254	0.1239745512
255	0.1237045121
256	0.123562511
257	0.1235282268
258	0.1234263152
259	0.1233821999
260	0.1232951233
261	0.1232469259
262	0.1231210207
263	0.1229413323
264	0.122770585
265	0.1227084731
266	0.1226658574
267	0.1225964026
268	0.1224383477
269	0.1223913353
270	0.122288871
271	0.1222500061
272	0.1221727992
273	0.1221367019
274	0.1220749402
275	0.1219649507
276	0.121917143
277	0.1218538959
278	0.1216376186
279	0.1215900697
280	0.1214769662
281	0.1212969668
282	0.1212788931
283	0.1211302806
284	0.1210248586
285	0.1206317999
286	0.1206090194
287	0.120522175
288	0.1204777053
289	0.1203364649
290	0.120290418
291	0.1202765099
292	0.1202325278
293	0.1200704337
294	0.1198404384
295	0.1195840759
296	0.1193906155
297	0.1192723845
298	0.119072983
299	0.1189679244
300	0.1188402472
301	0.1188021127
302	0.1187388407
303	0.1184865526
304	0.118395665
305	0.1183620616
306	0.1182397483
307	0.1181376464
308	0.1179037019
309	0.1178198819
310	0.1177197483
311	0.1175003074
312	0.117399044
313	0.1173181601
314	0.1172769538
315	0.1172471892
316	0.1172054145
317	0.1171147119
318	0.1170537553
319	0.1169975455
320	0.1168831779
321	0.1168226607
322	0.1166878448
323	0.116649485
324	0.1166137686
325	0.116564049
326	0.1165153647
327	0.1164127244
328	0.1162217128
329	0.1161575131
330	0.1159397515
331	0.1158630997
332	0.1157665023
333	0.1156918816
334	0.1156287179
335	0.1156068034
336	0.1155118437
337	0.1154509261
338	0.1153125509
339	0.1152546936
340	0.1151814833
341	0.1150710081
342	0.115025211
343	0.1149804308
344	0.1149024423
345	0.1148615931
346	0.1148151476
347	0.1145475591
348	0.1144465164
349	0.1144341792
350	0.1143199702
351	0.1142058178
352	0.1141484711
353	0.113953552
354	0.1138080214
355	0.1137597887
356	0.1137034977
357	0.1136673349
358	0.1136108158
359	0.1135575253
360	0.1134597176
361	0.1133294478
362	0.1132641401
363	0.1131736784
364	0.1130471185
365	0.1129951453
366	0.1129097629
367	0.1128340382
368	0.1127342999
369	0.1125799493
370	0.1125050411
371	0.1123825195
372	0.112318947
373	0.1121472748
374	0.1119215383
375	0.1118304414
376	0.1117451929
377	0.1116701579
378	0.1115815863
379	0.1114702483
380	0.1114128771
381	0.1113164239
382	0.1112528288
383	0.1112100814
384	0.111158318
385	0.1110441792
386	0.111028895
387	0.1108506819
388	0.1108274714
389	0.1107724599
390	0.1107268094
391	0.1106850607
392	0.1105683316
393	0.110521739
394	0.1104827343
395	0.1103034291
396	0.1101665818
397	0.1099866662
398	0.1099701527
399	0.1099274714
400	0.1098511816
401	0.1097439974
402	0.109713515
403	0.1096880357
404	0.1096696616
405	0.1096496245
406	0.1095365742
407	0.1094922341
408	0.1093770427
409	0.1093453066
410	0.1093263856
411	0.1093134788
412	0.1092472859
413	0.1090731516
414	0.1089487937
415	0.1088628895
416	0.1087242427
417	0.1086939287
418	0.1086478383
419	0.1085985438
420	0.1085338096
421	0.1084539051
422	0.108384597
423	0.1082892589
424	0.1082058216
425	0.1081819674
426	0.1081316029
427	0.1081027895
428	0.1080606326
429	0.1078664113
430	0.1078526655
431	0.107774774
432	0.1077608101
433	0.1077250092
434	0.1077050524
435	0.107668861
436	0.1076459214
437	0.1075233729
438	0.1074490967
439	0.107334699
440	0.1072726165
441	0.1071689979
442	0.1070335098
443	0.1069258089
444	0.1068989686
445	0.1068513012
446	0.1067359409
447	0.1067238347
448	0.1066250574
449	0.1065523837
450	0.1065037329
451	0.1064673666
452	0.1064234298
453	0.1063824741
454	0.1063125706
455	0.1062877905
456	0.1062704939
457	0.1061709058
458	0.1061109898
459	0.1060511457
460	0.1059445408
461	0.1058588157
462	0.1058111301
463	0.1057917339
464	0.1057554873
465	0.1057256816
466	0.1056415423
467	0.1054870568
468	0.1054565114
469	0.1054348837
470	0.1053502396
471	0.1052276585
472	0.1051413581
473	0.1051157297
474	0.1050623565
475	0.1050499519
476	0.1049877509
477	0.1049223339
478	0.1048934332
479	0.1048719585
480	0.1048378173
481	0.1047981737
482	0.1047293032
483	0.1046820142
484	0.104535152
485	0.1044385488
486	0.1043678448
487	0.1043505583
488	0.1041743972
489	0.1041578696
490	0.1041500448
491	0.1039937951
492	0.1039843631
493	0.1039462594
494	0.1038836017
495	0.1038588115
496	0.1038252028
497	0.1037970623
498	0.1037795942
499	0.1037479847
500	0.1037189632
501	0.1036120426
502	0.1035984004
503	0.1035056692
504	0.1034071654
505	0.1033346121
506	0.1032731463
507	0.1031601422
508	0.1031330713
509	0.1030766195
510	0.1030387704
511	0.1029137965
512	0.1028911186
513	0.1028562558
514	0.1028038076
515	0.1027770624
516	0.1026239715
517	0.102589368
518	0.1025683217
519	0.1025445319
520	0.1024750082
521	0.1023537833
522	0.1021182852
523	0.1020772446
524	0.1020275583
525	0.1019799518
526	0.1019499804
527	0.101827057
528	0.101782521
529	0.1016386871
530	0.1016130663
531	0.1015752886
532	0.1014909341
533	0.1014167657
534	0.1013908442
535	0.1013194147
536	0.1012805716
537	0.1011960706
538	0.1011330402
539	0.101048889
540	0.1009572196
541	0.1008835479
542	0.1008738987
543	0.1008553888
544	0.1007176084
545	0.1006389115
546	0.1005680573
547	0.1005221534
548	0.1004586434
549	0.1003173704
550	0.1001864112
551	0.1001608627
552	0.1000731508
553	0.1000360895
554	0.09999598938
555	0.09994186622
556	0.09985599524
557	0.09981250219
558	0.09972776568
559	0.09970880369
560	0.0996857375
561	0.09961076772
562	0.0995860749
563	0.0995755933
564	0.09950875316
565	0.09941800735
566	0.09923420722
567	0.09919478437
568	0.09909059322
569	0.0990163058
570	0.09899379711
571	0.09897796404
572	0.0989046179
573	0.09890276601
574	0.09889194483
575	0.0988584945
576	0.09882336502
577	0.09877210379
578	0.09870964042
579	0.0986295726
580	0.09861125992
581	0.09855652873
582	0.0985182393
583	0.0984366057
584	0.09841538886
585	0.09834700242
586	0.09829345442
587	0.09826877947
588	0.09820940464
589	0.09817287432
590	0.09815601288
591	0.09815042238
592	0.09812080165
593	0.09811061926
594	0.09802648638
595	0.09793923489
596	0.09790882521
597	0.09788848879
598	0.09784610779
599	0.09778778615
600	0.09769256906
601	0.09765296232
602	0.09760759067
603	0.09759639758
604	0.09758178518
605	0.09752055146
606	0.09750323703
607	0.09743050957
608	0.09741815922
609	0.09731950833
610	0.09721973235
611	0.09710701689
612	0.09710053517
613	0.09705169939
614	0.09702652021
615	0.09701418493
616	0.09697335731
617	0.0969649803
618	0.09691597287
619	0.09684745066
620	0.09673813497
621	0.0967332396
622	0.09669818456
623	0.09668138751
624	0.09663629743
625	0.09654672511
626	0.09642712286
627	0.09638031893
628	0.09620634588
629	0.09619738157
630	0.09614649173
631	0.09613384504
632	0.09602819361
633	0.09600358977
634	0.09594225517
635	0.09593526163
636	0.09587825531
637	0.09582474017
638	0.09576602787
639	0.0956839427
640	0.09562623158
641	0.09557739451
642	0.09556183542
643	0.09553869574
644	0.09551804519
645	0.09549716462
646	0.09547508562
647	0.09540782341
648	0.09538053028
649	0.09530757952
650	0.09526410901
651	0.09512408131
652	0.09510689921
653	0.0950970371
654	0.0950163812
655	0.09495904621
656	0.09490948547
657	0.09487071134
658	0.09480979394
659	0.09479964181
660	0.09474449615
661	0.09473388875
662	0.09470681406
663	0.09469361328
664	0.09467953307
665	0.09466864483
666	0.09457315268
667	0.09455901322
668	0.094551428
669	0.09452620505
670	0.0945147388
671	0.09446641843
672	0.09444888415
673	0.09434524563
674	0.09429662573
675	0.09423299167
676	0.09420062066
677	0.09416382519
678	0.09413188005
679	0.09410519825
680	0.09409111224
681	0.09388429756
682	0.09387073755
683	0.09384174488
684	0.09382560554
685	0.09381280126
686	0.0937928319
687	0.09377160527
688	0.09370405086
689	0.09369816184
690	0.09359866443
691	0.0935305654
692	0.0935025261
693	0.09348854603
694	0.09348225509
695	0.09344875274
696	0.09341008034
697	0.09335256893
698	0.09334136116
699	0.09331257507
700	0.09326943874
701	0.093189419
702	0.09314790933
703	0.09311671351
704	0.0931092064
705	0.0931007259
706	0.09303484682
707	0.09297826757
708	0.09296354269
709	0.09294926743
710	0.09294262035
711	0.09291758865
712	0.09289454263
713	0.09288258211
714	0.09285082524
715	0.09283267271
716	0.09275841432
717	0.09274902594
718	0.09272859335
719	0.09268359428
720	0.0926698951
721	0.09266225614
722	0.09264419938
723	0.09253614546
724	0.09244571008
725	0.09241235987
726	0.09236999276
727	0.09232212852
728	0.09230806589
729	0.09230051882
730	0.09229157023
731	0.09218550302
732	0.09215144131
733	0.09211221721
734	0.09209191415
735	0.09197767398
736	0.09192039492
737	0.09188547211
738	0.09187286047
739	0.09186533451
740	0.09184250935
741	0.09182470483
742	0.0918030175
743	0.09179703327
744	0.09177440915
745	0.0917618006
746	0.09175328093
747	0.09172451422
748	0.09170819319
749	0.09168196266
750	0.09164401447
751	0.09155493459
752	0.09148922627
753	0.09136930579
754	0.0913640826
755	0.09125802397
756	0.09123451308
757	0.09117622202
758	0.09112100865
759	0.091101307
760	0.09105464013
761	0.09104948005
762	0.09099227984
763	0.09092374589
764	0.09086028442
765	0.09082867812
766	0.09080153181
767	0.09075966142
768	0.09075524254
769	0.09070178964
770	0.09067486696
771	0.09066571806
772	0.09065002511
773	0.09062174104
774	0.09059193736
775	0.09057551083
776	0.09055324207
777	0.09054811342
778	0.09053459426
779	0.0905022494
780	0.09047710422
781	0.09046588201
782	0.0903867877
783	0.09030558563
784	0.09028311211
785	0.09026755099
786	0.09021308763
787	0.09005057435
788	0.09002064351
789	0.09000809957
790	0.08997655583
791	0.08996072007
792	0.08991039997
793	0.08987735926
794	0.0898648421
795	0.08985926021
796	0.08981394338
797	0.08979635775
798	0.08974401899
799	0.08969278903
800	0.08967601612
801	0.08965711495
802	0.08965291999
803	0.08956187544
804	0.08954125166
805	0.08950211493
806	0.08947793006
807	0.08945154734
808	0.0894388225
809	0.08942715124
810	0.08939966016
811	0.08939515667
812	0.0893453229
813	0.08931113762
814	0.08930322773
815	0.08928580565
816	0.08927729018
817	0.08927297608
818	0.0892559617
819	0.08924716944
820	0.08918487065
821	0.08917383233
822	0.08917291112
823	0.08916625936
824	0.08913663438
825	0.08908355277
826	0.08905469292
827	0.08904585775
828	0.08903582978
829	0.08901542205
830	0.08898111331
831	0.0888193657
832	0.08881344653
833	0.08880042448
834	0.0887357437
835	0.08872221991
836	0.08859944741
837	0.0885767927
838	0.08855689265
839	0.08853888333
840	0.0884917447
841	0.08844636558
842	0.08843374283
843	0.08835479218
844	0.08828798081
845	0.08826188171
846	0.08822188488
847	0.08821973271
848	0.0881722883
849	0.08815487951
850	0.08814346463
851	0.0881058048
852	0.08805889505
853	0.08804249425
854	0.08801468945
855	0.08798915583
856	0.08795810751
857	0.08792812942
858	0.08789685433
859	0.08786877691
860	0.08785108699
861	0.08780997434
862	0.0877158008
863	0.08770647688
864	0.08769389683
865	0.08767504994
866	0.08765581383
867	0.08764931687
868	0.08759669434
869	0.08751432112
870	0.08745826889
871	0.08741715514
872	0.08740267657
873	0.08738196251
874	0.08734452223
875	0.08729409626
876	0.08727498986
877	0.08722055259
878	0.08720397794
879	0.08717446508
880	0.08711351895
881	0.08710605697
882	0.08709965872
883	0.08704273764
884	0.08699328189
885	0.08697430623
886	0.08694433062
887	0.08688607815
888	0.08687625347
889	0.08684658234
890	0.08683323397
891	0.08682744727
892	0.08682220437
893	0.08679656697
894	0.086774325
895	0.08674271221
896	0.08671236454
897	0.08669511332
898	0.08669322058
899	0.08668025134
900	0.08666615339
901	0.08662272472
902	0.08661290625
903	0.08655620909
904	0.08651131348
905	0.08649389511
906	0.08646633252
907	0.08644779321
908	0.08638177521
909	0.08635688471
910	0.0862783118
911	0.08624822338
912	0.08618551469
913	0.08617659054
914	0.08615025028
915	0.08612006266
916	0.08606779067
917	0.08605438181
918	0.0859747177
919	0.0859626806
920	0.08594535461
921	0.08585669922
922	0.08583938203
923	0.08580428967
924	0.08579219027
925	0.08577633245
926	0.08573122748
927	0.08568491596
928	0.08560625565
929	0.08558117712
930	0.08557237785
931	0.08553831361
932	0.08552104035
933	0.08550243349
934	0.08548914647
935	0.08548270528
936	0.08546298259
937	0.08542442323
938	0.08542072645
939	0.08533617662
940	0.08532909649
941	0.08529304745
942	0.0852780495
943	0.0852361865
944	0.08521057173
945	0.0851849177
946	0.08515672354
947	0.08514650327
948	0.08513374705
949	0.08507415396
950	0.08506721345
951	0.08500615796
952	0.08499026325
953	0.08490410877
954	0.08489634239
955	0.08487561167
956	0.08476831317
957	0.08475957518
958	0.08472129039
959	0.08466751524
960	0.08465909323
961	0.08460496643
962	0.08459766379
963	0.0845412259
964	0.08448730038
965	0.08448236654
966	0.08443007962
967	0.08441753775
968	0.08441094685
969	0.0843874743
970	0.08438540996
971	0.08431396312
972	0.08430004215
973	0.08428229079
974	0.08426766543
975	0.08425208052
976	0.08420554888
977	0.08419893963
978	0.08416308594
979	0.08415840484
980	0.08412769421
981	0.0840380418
982	0.08402837942
983	0.08395119997
984	0.08394252122
985	0.08390424077
986	0.08388370948
987	0.08381826255
988	0.08380076538
989	0.08377983334
990	0.08372016144
991	0.08371433644
992	0.08370340669
993	0.08369461036
994	0.08366890177
995	0.08366206172
996	0.08359465252
997	0.08359197746
998	0.08357372611
999	0.08354088909
