iter	Passed	Remaining
162	19704	101180
163	19821	101039
164	19942	100922
165	20065	100809
166	20188	100698
167	20303	100548
168	20419	100404
169	20532	100245
170	20642	100073
171	20763	99956
172	20880	99816
173	20987	99628
174	21125	99592
175	21244	99462
176	21374	99386
177	21490	99241
178	21617	99152
179	21732	99004
180	21850	98869
181	21960	98703
182	22082	98587
183	22196	98437
184	22307	98272
185	22422	98126
186	22536	97980
187	22661	97878
188	22778	97744
189	22900	97629
190	23016	97486
191	23130	97342
192	23253	97231
193	23363	97066
194	23478	96924
195	23599	96804
196	23711	96652
197	23871	96693
198	24006	96630
199	24146	96584
200	24283	96531
201	24414	96451
202	24528	96302
203	24640	96147
204	24761	96027
205	24875	95880
206	24992	95743
207	25123	95662
208	25246	95549
209	25358	95395
210	25473	95252
211	25584	95095
212	25699	94955
213	25810	94800
214	25925	94657
215	26057	94580
216	26177	94455
217	26289	94303
218	26415	94204
219	26543	94110
220	26654	93955
221	26776	93838
222	26884	93674
223	27004	93551
224	27129	93446
225	27245	93308
226	27352	93144
227	27468	93006
228	27580	92859
229	27708	92763
230	27842	92687
231	27958	92551
232	28074	92417
233	28187	92272
234	28308	92153
235	28416	91991
236	28536	91871
237	28643	91706
238	28762	91581
239	28913	91557
240	29089	91613
241	29224	91539
242	29344	91414
243	29469	91306
244	29585	91170
245	29697	91024
246	29810	90880
247	29925	90740
248	30034	90586
249	30142	90426
250	30260	90300
251	30375	90162
252	30489	90021
253	30609	89900
254	30714	89735
255	30822	89579
256	30952	89484
257	31071	89361
258	31189	89232
259	31316	89132
260	31445	89035
261	31553	88878
262	31674	88761
263	31782	88606
264	31886	88440
265	31995	88289
266	32141	88239
267	32256	88104
268	32377	87983
269	32487	87837
270	32599	87694
271	32722	87579
272	32834	87439
273	32956	87322
274	33081	87215
275	33197	87083
276	33319	86967
277	33437	86840
278	33546	86691
279	33651	86533
280	33762	86388
281	33879	86259
282	34011	86170
283	34132	86052
284	34258	85947
285	34370	85805
286	34486	85674
287	34608	85560
288	34712	85400
289	34826	85263
290	34955	85165
291	35068	85028
292	35181	84890
293	35294	84754
294	35411	84626
295	35527	84497
296	35643	84369
297	35764	84250
298	35893	84152
299	36013	84031
300	36122	83886
301	36252	83788
302	36374	83673
303	36499	83563
304	36626	83460
305	36753	83355
306	36879	83248
307	37021	83178
308	37150	83078
309	37279	82976
310	37391	82838
311	37509	82712
312	37642	82621
313	37768	82514
314	37906	82431
315	38047	82355
316	38200	82305
317	38328	82201
318	38469	82124
319	38627	82082
320	38775	82020
321	38919	81947
322	39053	81854
323	39192	81771
324	39328	81682
325	39466	81596
326	39601	81503
327	39742	81422
328	39876	81328
329	40005	81224
330	40143	81135
331	40274	81033
332	40392	80906
333	40504	80766
334	40619	80633
335	40731	80492
336	40863	80392
337	40991	80284
338	41155	80246
339	41343	80254
340	41473	80149
341	41594	80027
342	41713	79900
343	41909	79920
344	42040	79816
345	42163	79695
346	42299	79601
347	42454	79540
348	42571	79410
349	42690	79281
350	42829	79191
351	42951	79069
352	43078	78956
353	43207	78846
354	43330	78727
355	43451	78603
356	43572	78478
357	43697	78361
358	43880	78349
359	44019	78256
360	44158	78163
361	44277	78035
362	44393	77901
363	44511	77772
364	44619	77624
365	44730	77483
366	44860	77375
367	44980	77248
368	45095	77114
369	45220	76996
370	45324	76843
371	45439	76709
372	45549	76566
373	45668	76439
374	45795	76326
375	45911	76192
376	46033	76070
377	46148	75937
378	46259	75797
379	46378	75670
380	46497	75543
381	46622	75425
382	46741	75298
383	46867	75182
384	46977	75042
385	47094	74911
386	47211	74782
387	47327	74650
388	47435	74506
389	47546	74367
390	47658	74230
391	47781	74109
392	47914	74005
393	48029	73872
394	48146	73743
395	48255	73602
396	48377	73479
397	48496	73353
398	48611	73222
399	48737	73105
400	48852	72974
401	48962	72834
402	49075	72699
403	49212	72600
404	49332	72475
405	49445	72341
406	49564	72216
407	49685	72093
408	49804	71967
409	49923	71841
410	50037	71708
411	50149	71572
412	50268	71446
413	50381	71312
414	50490	71174
415	50605	71042
416	50725	70918
417	50838	70784
418	50943	70640
419	51058	70509
420	51180	70388
421	51298	70261
422	51413	70130
423	51531	70004
424	51645	69873
425	51764	69748
426	51888	69629
427	52005	69502
428	52113	69363
429	52240	69249
430	52358	69122
431	52469	68988
432	52581	68854
433	52691	68717
434	52810	68593
435	52934	68475
436	53059	68358
437	53173	68226
438	53301	68114
439	53408	67974
440	53521	67842
441	53652	67733
442	53783	67623
443	53897	67493
444	54021	67375
445	54141	67251
